Equipment,Body_Part,Equipment_Recall,Body_Recall,Ratio
helmet,head,0.5844155844155844,0.8467243510506799,0.6902067874670317
gloves,hands,0.42344045368620037,0.7587173100871731,0.5580996900385191
shoes,foot,0.4456066945606695,0.06040268456375839,7.377144255005083
glasses,face,0.49748743718592964,0.8436657681940701,0.5896729087135167
safety-vest,person,0.3917525773195876,0.8277249451353328,0.4732877827763829
face-mask-medical,face,0.6622516556291391,0.8436657681940701,0.784968284393537
earmuffs,ear,0.3469387755102041,0.6141439205955335,0.5649135307897347
